game,platform,genre,release_date,metascore,genre_code_RAWG,months_from_release
Portal 2,PC,Action,2011-04-18,95,4.0,108
Batman: Arkham City,PC,Action Adventure,2011-11-21,91,3.0,101
Super Mario 3D Land,3DS,Action,2011-11-13,90,4.0,101
Deus Ex: Human Revolution,PC,Action,2011-08-23,90,4.0,104
Total War: Shogun 2,PC,Strategy,2011-03-15,90,10.0,109
Battlefield 3,PC,Action,2011-10-25,89,4.0,102
Assassin's Creed: Brotherhood,PC,Action Adventure,2011-03-22,88,3.0,109
The Witcher 2: Assassins of Kings,PC,Role-Playing,2011-05-17,88,5.0,107
Dead Space 2,PC,Action,2011-01-25,87,4.0,111
Crysis 2,PC,Action,2011-03-22,86,4.0,109
DiRT 3,PC,Driving,2011-05-23,86,1.0,107
Battlefield 3: Back to Karkand,PC,Action,2011-12-13,86,4.0,100
Super Street Fighter IV: 3D Edition,3DS,Action,2011-03-27,85,4.0,109
Frozen Synapse,PC,Strategy,2011-05-26,85,10.0,107
Mario Kart 7,3DS,Driving,2011-12-04,85,1.0,100
Saints Row: The Third,PC,Action Adventure,2011-11-14,84,3.0,101
Super Street Fighter IV: Arcade Edition,PC,Action,2011-07-07,84,4.0,105
Football Manager 2012,PC,Sports,2011-10-20,84,15.0,102
Unity of Command,PC,Strategy,2011-11-15,84,10.0,101
The Binding of Isaac,PC,Action,2011-09-28,84,4.0,103
Trine 2,PC,Action,2011-12-07,84,4.0,100
Rift,PC,Role-Playing,2011-03-01,84,5.0,109
Shift 2: Unleashed,PC,Driving,2011-03-29,84,1.0,109
Anno 2070,PC,Strategy,2011-11-17,83,10.0,101
Orcs Must Die!,PC,Action,2011-10-11,83,4.0,102
L.A. Noire: The Complete Edition,PC,Action Adventure,2011-11-08,83,3.0,101
The Book of Unwritten Tales,PC,Adventure,2011-10-28,82,3.0,102
Cave Story 3D,3DS,Action,2011-11-08,82,4.0,101
Gemini Rue,PC,Adventure,2011-02-24,82,3.0,110
Dragon Age II,PC,Role-Playing,2011-03-08,82,5.0,109
Skylanders: Spyro's Adventure,3DS,Action,2011-10-16,82,4.0,102
Monday Night Combat,PC,Action,2011-01-24,82,4.0,111
Bulletstorm,PC,General,2011-02-21,82,40.0,110
Fallout: New Vegas - Old World Blues,PC,Role-Playing,2011-07-19,82,5.0,105
To the Moon,PC,Role-Playing,2011-11-01,81,5.0,101
Star Fox 64 3D,3DS,Action,2011-09-09,81,4.0,103
Rochard,PC,Action,2011-11-15,81,4.0,101
Jamestown: Legend of the Lost Colony,PC,Action,2011-06-08,81,4.0,106
TrackMania 2 Canyon,PC,Driving,2011-09-14,81,1.0,103
